Player,Nation,Pos,Team,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Jones El-Abdellaoui,ma MAR,"MF,DF",Celta Vigo,19,1,0,34,0,0,0,0,0,0,0.1
Abdel Abqar,ma MAR,DF,Getafe,26,5,5,387,0,1,0,3,0,0.1,0.2
Akor Adams,ng NGA,FW,Sevilla,25,6,3,338,2,1,0,1,0,2,0.1
David Affengruber,at AUT,DF,Elche,24,8,7,663,0,0,0,2,1,0,0.1
Julen Agirrezabala,es ESP,GK,Valencia,24,8,8,720,0,0,0,1,0,0,0
Lucien Agoume,fr FRA,MF,Sevilla,23,7,7,609,1,1,0,3,0,0.1,0.8
Marc Aguado,es ESP,MF,Elche,25,7,5,399,0,0,0,0,0,0,0
Lucas Ahijado,es ESP,DF,Oviedo,30,5,3,371,0,1,0,1,0,0.2,0.5
Ilias Akhomach,ma MAR,"MF,FW",Villarreal,21,4,2,131,0,0,0,0,0,0.3,0.7
David Alaba,at AUT,DF,Real Madrid,33,2,0,12,0,0,0,0,0,0,0
Alexandre Alemão,br BRA,FW,Rayo Vallecano,27,5,3,276,0,0,0,0,0,1.1,0
Carles Aleñá,es ESP,"MF,FW",Alavés,27,8,6,513,0,3,0,0,0,0.5,1
Trent Alexander-Arnold,eng ENG,DF,Real Madrid,26,4,2,151,0,0,0,0,0,0,0
Alfon,es ESP,"FW,DF",Sevilla,26,3,3,163,1,0,0,0,0,0.3,0.1
Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,24,3,3,206,0,0,0,0,0,0.2,0.6
Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,25,3,1,88,0,0,0,0,0,0,0
Marcos Alonso,es ESP,DF,Celta Vigo,34,5,4,384,0,0,0,1,0,0.1,0.4
Adrià Altimira,es ESP,DF,Villarreal,24,1,0,9,0,0,0,0,0,0,0
Sergi Altimira,es ESP,MF,Betis,24,7,5,450,0,1,0,1,0,0,0.2
Carlos Álvarez,es ESP,MF,Levante,22,8,6,490,2,1,0,1,0,0.8,1.3
Hugo Álvarez,es ESP,"FW,DF",Celta Vigo,22,6,3,306,1,0,0,0,0,0.1,0.2
Julián Álvarez,ar ARG,FW,Atlético Madrid,25,8,8,623,6,1,1,1,0,3.9,1.7
Sofyan Amrabat,ma MAR,MF,Betis,29,3,2,198,0,0,0,1,0,0.1,0.1
Miguel Ángel Rubio,es ESP,DF,Espanyol,27,4,1,128,1,0,0,0,0,0.7,0
Antoniu,es ESP,FW,Espanyol,23,3,0,21,0,0,0,0,0,0.1,0
Antony,br BRA,FW,Betis,25,4,4,326,0,0,0,1,0,1,0.4
Mauro Arambarri,uy URU,MF,Getafe,30,8,8,699,1,0,0,1,0,0.8,0.1
